"","stream","data","season","largest_between","smallest_within","smallest_wb_ratio","smallest_gap","largest_dunn2","largest_sil","smallest_ss","best"
"1","C3","raw","cont","4 DTW","5 kmeans","5 kmeans","5 kmeans","4 DTW","5 kmeans","5 kmeans","5 kmeans"
"2","C3","raw","s1","2 kshape","5 kmeans","5 kmeans","5 kmeans","3 kmeans","3 DTW","5 kmeans","5 kmeans"
"3","C3","raw","s2","3 kmeans","5 kmeans","5 kmeans","3 kmeans","5 kmeans","4 kshape","5 kmeans","5 kmeans"
"4","C3","raw","sep","3 kmeans","5 kmeans","5 kmeans","3 TADpole","3 TADpole","5 kmeans","5 kmeans","5 kmeans"
"5","C3","growth","cont","3 DTW","5 kmeans","5 kmeans","5 kmeans","3 kmeans","3 kmeans","5 kmeans","5 kmeans"
"6","C3","growth","s1","3 DTW","5 kmeans","5 kmeans","4 kmeans","4 kmeans","4 kmeans","5 kmeans","c(""4 kmeans"", ""5 kmeans"")"
"7","C3","growth","s2","2 kmeans","5 kmeans","5 kmeans","3 kmeans","2 kmeans","3 kmeans","5 kmeans","5 kmeans"
"8","C3","growth","sep","3 TADpole","5 kmeans","5 kmeans","5 kmeans","5 kmeans","5 kmeans","5 kmeans","5 kmeans"
"9","C3","raw+growth","s1","4 kmeans","5 kmeans","5 kmeans","3 TADpole","5 kmeans","5 kmeans","5 kmeans","5 kmeans"
"10","LS","raw","cont","2 DTW","5 kmeans","5 kmeans","5 TADpole","2 DTW","2 DTW","5 kmeans","c(""2 DTW"", ""5 kmeans"")"
"11","LS","raw","s1","3 kmeans","5 kmeans","5 kmeans","3 kmeans","4 kmeans","5 kmeans","5 kmeans","5 kmeans"
"12","LS","raw","s2","3 DTW","5 kmeans","5 kmeans","5 kmeans","3 TADpole","5 kmeans","5 kmeans","5 kmeans"
"13","LS","raw","sep","3 kmeans","5 kmeans","5 kmeans","4 kmeans","4 kmeans","5 kmeans","5 kmeans","5 kmeans"
"14","LS","growth","cont","3 PCA","5 kmeans","5 kmeans","5 kmeans","3 kmeans","5 kmeans","5 kmeans","5 kmeans"
"15","LS","growth","s1","3 DTW","5 kmeans","5 kmeans","4 kmeans","3 DTW","5 kmeans","5 kmeans","5 kmeans"
"16","LS","growth","s2","2 DTW","5 kmeans","5 kmeans","2 DTW","2 DTW","5 kmeans","5 kmeans","5 kmeans"
"17","LS","growth","sep","3 kmeans","5 kmeans","5 kmeans","5 kmeans","5 kmeans","5 kmeans","5 kmeans","5 kmeans"
"18","LS","raw+growth","s1","3 TADpole","5 kmeans","5 kmeans","5 kmeans","5 kmeans","5 kmeans","5 kmeans","5 kmeans"
"19","C3+LS","raw","s1","3 kmeans","5 kmeans","5 kmeans","3 kmeans","3 kmeans","3 kmeans","5 kmeans","3 kmeans"
"20","C3+LS","growth","s1","2 DTW","5 kmeans","5 kmeans","4 kmeans","4 kmeans","4 kmeans","5 kmeans","c(""4 kmeans"", ""5 kmeans"")"
"21","C3+LS","raw avg","s1","3 kmeans","5 kmeans","5 kmeans","3 kmeans","3 kmeans","3 kmeans","5 kmeans","3 kmeans"
"22","C3+LS","raw diff","s1","3 DTW","5 kmeans","5 kmeans","5 kmeans","3 DTW","5 kmeans","5 kmeans","5 kmeans"
"23","C3+LS","growth avg","s1","3 TADpole","5 kmeans","5 kmeans","4 kmeans","5 kmeans","5 kmeans","5 kmeans","5 kmeans"
"24","C3+LS","growth diff","s1","3 TADpole","5 kmeans","5 kmeans","4 kmeans","4 kmeans","4 DTW","5 kmeans","5 kmeans"
