"","clusters","Mape"
"1","Benchmark",27.9342734765635
"2","LS_raw_cluster",30.2009940388318
"3","LS_growth_cluster",25.2937355411651
"4","raw_growth_C3_cluster",27.9985674108577
"5","raw_growth_LS_cluster",37.2110391733718
"6","C3_LS_raw_cluster",27.8364334707771
"7","C3_LS_raw_diff_cluster",13.1867430054514
"8","C3_LS_raw_avg_cluster",21.7704454257759
"9","C3_LS_growth_cluster",28.8257007030276
"10","C3_LS_growth_diff_cluster",27.0933205308412
"11","C3_LS_growth_avg_cluster",30.4526286214813
"12","C3_RAW_kmeans_3",32.6750129842898
"13","C3_RAW_kmeans_5",34.8191803977073
"14","C3_RAW_kshape_2",32.4040828729502
"15","C3_GROWTH_kmeans_4",25.9309141173991
"16","C3_GROWTH_kmeans_5",30.4276791132034
"17","C3_GROWTH_DTW_3",24.7216424413657
"18","LS_RAW_DTW_3",40.7296269915492
"19","LS_RAW_tadpole_5",15.130879005178
"20","LS_GROWTH_DTW_3",18.3626255755308
"21","LS_GROWTH_tadpole_5",25.2947779998063
