"","Show_Name","C3_raw_cluster","C3_growth_cluster","LS_raw_cluster","LS_growth_cluster","raw_growth_C3_cluster","raw_growth_LS_cluster","C3_LS_raw_cluster","C3_LS_raw_diff_cluster","C3_LS_raw_avg_cluster","C3_LS_growth_cluster","C3_LS_growth_diff_cluster","C3_LS_growth_avg_cluster"
"1","12 MONKEYS",2,3,4,5,1,3,2,2,1,4,2,4
"2","ALMIGHTY JOHNSONS",2,2,4,1,2,2,2,5,1,1,5,1
"3","BELOW DECK",5,5,1,3,4,5,3,3,2,2,1,2
"4","BITTEN",4,5,2,3,5,5,5,2,5,2,4,2
"5","BLOOD SWEAT HEELS",2,1,4,5,1,3,1,1,3,4,1,4
"6","BOTCHED",3,5,2,3,5,5,4,3,4,2,1,2
"7","BOTCHED POST OP",2,NA,5,NA,NA,NA,1,2,3,NA,NA,NA
"8","BURNING LOVE",1,NA,1,NA,NA,NA,3,2,2,NA,NA,NA
"9","CHRISLEY KNOWS BEST",5,1,1,5,4,1,3,1,2,4,5,4
"10","CHRISTINA MILIAN",2,2,4,2,2,2,2,5,1,5,4,5
"11","COLONY",2,2,4,2,2,2,2,2,1,5,2,5
"12","CONTINUUM",4,5,3,3,5,5,5,5,5,2,5,2
"13","DARK MATTER",4,3,3,4,1,4,5,2,5,4,5,4
"14","DEFIANCE",2,1,4,1,1,2,2,3,1,1,3,1
"15","DOMINION",2,3,4,5,1,3,1,4,3,4,1,4
"16","ERIC JESSIE GAME ON",3,4,2,4,3,4,4,4,4,3,4,3
"17","EXPANSE",1,3,4,5,1,3,1,4,3,4,1,4
"18","FASHION QUEENS",4,5,3,3,5,5,5,3,5,2,5,2
"19","GGD",3,3,4,5,3,3,4,1,5,4,3,4
"20","GHOST MINE",5,2,1,1,4,1,3,1,2,1,1,1
"21","GRACELAND",3,4,3,4,3,4,5,1,5,3,4,3
"22","HELIX",2,1,4,5,1,3,1,2,3,4,1,4
"23","HELLO ROSS",4,2,3,3,2,5,5,2,5,5,4,5
"24","HOLLYWOOD MEDIUM",2,2,4,2,2,2,2,4,1,5,1,5
"25","HOUSE OF DVF",5,3,2,4,4,4,4,3,4,4,1,4
"26","I AM CAIT",2,1,4,5,1,3,2,2,1,4,1,4
"27","KILLJOYS",5,4,3,4,4,4,4,3,4,3,4,3
"28","LADIES OF LONDON",1,3,5,5,1,3,1,5,3,4,1,4
"29","MAGICIANS",2,1,4,5,1,3,2,2,1,4,3,4
"30","MANZOD WITH CHILDREN",2,1,4,1,1,3,1,1,3,1,3,1
"31","MARRIED TO JONAS",2,2,4,2,2,2,2,3,1,5,2,5
"32","MARRIED TO MED ATL",4,2,3,2,5,5,5,3,5,5,1,5
"33","MR ROBOT",2,2,4,2,2,2,2,2,1,5,5,5
"34","NEWLYWEDS 1ST YEAR",5,4,1,4,3,1,3,5,2,3,5,3
"35","ODD MOM OUT",2,1,4,5,1,3,2,3,1,4,1,4
"36","PEOPLES COUCH",5,2,2,1,4,1,4,2,4,1,3,1
"37","PLAYING HOUSE",3,4,2,4,3,4,4,3,4,3,3,3
"38","RICHKIDS OF BH",4,4,3,4,3,4,5,5,5,3,3,3
"39","ROYALS",5,3,1,5,4,1,3,5,2,4,4,4
"40","SATISFACTION",1,2,5,1,2,3,1,4,3,1,3,1
"41","SIRENS",5,3,1,1,4,1,3,5,2,4,3,1
"42","SOUTHERN CHARM",5,3,1,5,4,1,3,1,2,4,3,4
"43","STUDIO E",2,4,4,4,1,3,2,1,1,3,5,3
"44","THICKER THN WATER",5,2,1,5,4,1,3,1,2,1,2,1
"45","TOTAL DIVAS",2,5,4,3,2,2,2,1,1,2,1,2
"46","TROY STREET MAGIC",1,1,5,5,1,3,1,1,3,4,4,4
"47","UNTYING KNOT",4,5,3,3,5,5,5,3,5,2,4,2
"48","VANDERPUMP RULES",3,3,3,5,3,4,5,1,5,4,1,4
"49","WAGS",4,4,2,4,3,4,5,2,5,3,1,3
"50","Z NATION",1,1,5,5,1,1,1,2,3,4,1,4
