"Show_Name","C3_raw_cluster","C3_growth_cluster","LS_raw_cluster","LS_growth_cluster","raw_growth_C3_cluster","raw_growth_LS_cluster","C3_LS_raw_cluster","C3_LS_raw_diff_cluster","C3_LS_raw_avg_cluster","C3_LS_growth_cluster","C3_LS_growth_diff_cluster","C3_LS_growth_avg_cluster","C3_raw_best_matches","C3_raw_best_matches_S2","C3_growth_best_matches","C3_growth_best_matches_S2"
"12 MONKEYS",2,3,4,5,1,3,2,2,1,4,2,4,"2",NA,NA,"3"
"ALMIGHTY JOHNSONS",2,2,4,1,2,2,2,5,1,1,5,1,"2",NA,"2",NA
"BELOW DECK",5,5,1,3,4,5,3,3,2,2,1,2,"5",NA,"5",NA
"BITTEN",4,5,2,3,5,5,5,2,5,2,4,2,"4","4","5",NA
"BLOOD SWEAT HEELS",2,1,4,5,1,3,1,1,3,4,1,4,NA,NA,NA,NA
"BOTCHED",3,5,2,3,5,5,4,3,4,2,1,2,NA,"3","5",NA
"BOTCHED POST OP",2,NA,5,NA,NA,NA,1,2,3,NA,NA,NA,"2",NA,NA,NA
"BURNING LOVE",1,NA,1,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA
"CHRISLEY KNOWS BEST",5,1,1,5,4,1,3,1,2,4,5,4,"5","5","1","1"
"CHRISTINA MILIAN",2,2,4,2,2,2,2,5,1,5,4,5,"2",NA,"2",NA
"COLONY",2,2,4,2,2,2,2,2,1,5,2,5,"2","2","2",NA
"CONTINUUM",4,5,3,3,5,5,5,5,5,2,5,2,"4",NA,"5","5"
"DARK MATTER",4,3,3,4,1,4,5,2,5,4,5,4,NA,NA,NA,NA
"DEFIANCE",2,1,4,1,1,2,2,3,1,1,3,1,"2","2","1","1"
"DOMINION",2,3,4,5,1,3,1,4,3,4,1,4,"2",NA,NA,NA
"ERIC JESSIE GAME ON",3,4,2,4,3,4,4,4,4,3,4,3,NA,NA,"4","4"
"EXPANSE",1,3,4,5,1,3,1,4,3,4,1,4,"1",NA,"3",NA
"FASHION QUEENS",4,5,3,3,5,5,5,3,5,2,5,2,NA,"4",NA,NA
"GGD",3,3,4,5,3,3,4,1,5,4,3,4,"3","3","3","3"
"GHOST MINE",5,2,1,1,4,1,3,1,2,1,1,1,"5","5",NA,"2"
"GRACELAND",3,4,3,4,3,4,5,1,5,3,4,3,"3",NA,"4",NA
"HELIX",2,1,4,5,1,3,1,2,3,4,1,4,NA,"2","1","1"
"HELLO ROSS",4,2,3,3,2,5,5,2,5,5,4,5,"4",NA,"2","2"
"HOLLYWOOD MEDIUM",2,2,4,2,2,2,2,4,1,5,1,5,"2",NA,"2","2"
"HOUSE OF DVF",5,3,2,4,4,4,4,3,4,4,1,4,NA,NA,"3",NA
"I AM CAIT",2,1,4,5,1,3,2,2,1,4,1,4,"2","2","1","1"
"KILLJOYS",5,4,3,4,4,4,4,3,4,3,4,3,"5","5","4","4"
"LADIES OF LONDON",1,3,5,5,1,3,1,5,3,4,1,4,"1",NA,"3",NA
"MAGICIANS",2,1,4,5,1,3,2,2,1,4,3,4,NA,"2","1","1"
"MANZOD WITH CHILDREN",2,1,4,1,1,3,1,1,3,1,3,1,"2",NA,"1",NA
"MARRIED TO JONAS",2,2,4,2,2,2,2,3,1,5,2,5,"2",NA,"2",NA
"MARRIED TO MED ATL",4,2,3,2,5,5,5,3,5,5,1,5,NA,"4",NA,NA
"MR ROBOT",2,2,4,2,2,2,2,2,1,5,5,5,"2",NA,"2","2"
"NEWLYWEDS 1ST YEAR",5,4,1,4,3,1,3,5,2,3,5,3,"5",NA,"4",NA
"ODD MOM OUT",2,1,4,5,1,3,2,3,1,4,1,4,"2",NA,"1",NA
"PEOPLES COUCH",5,2,2,1,4,1,4,2,4,1,3,1,NA,NA,NA,NA
"PLAYING HOUSE",3,4,2,4,3,4,4,3,4,3,3,3,"3",NA,NA,NA
"RICHKIDS OF BH",4,4,3,4,3,4,5,5,5,3,3,3,NA,"4",NA,NA
"ROYALS",5,3,1,5,4,1,3,5,2,4,4,4,"5","5","3","3"
"SATISFACTION",1,2,5,1,2,3,1,4,3,1,3,1,"1","1",NA,NA
"SIRENS",5,3,1,1,4,1,3,5,2,4,3,1,"5",NA,"3","3"
"SOUTHERN CHARM",5,3,1,5,4,1,3,1,2,4,3,4,NA,NA,NA,NA
"STUDIO E",2,4,4,4,1,3,2,1,1,3,5,3,NA,"2",NA,"4"
"THICKER THN WATER",5,2,1,5,4,1,3,1,2,1,2,1,NA,"5",NA,"2"
"TOTAL DIVAS",2,5,4,3,2,2,2,1,1,2,1,2,"2",NA,"5","5"
"TROY STREET MAGIC",1,1,5,5,1,3,1,1,3,4,4,4,"1","1","1","1"
"UNTYING KNOT",4,5,3,3,5,5,5,3,5,2,4,2,"4",NA,"5","5"
"VANDERPUMP RULES",3,3,3,5,3,4,5,1,5,4,1,4,NA,NA,NA,NA
"WAGS",4,4,2,4,3,4,5,2,5,3,1,3,"4",NA,"4",NA
"Z NATION",1,1,5,5,1,1,1,2,3,4,1,4,"1",NA,"1",NA
